"Timestamp","First.name","Last.name","Sexe","Age","Address","Phone.number","E.mail","Where.are.you.from..","What.level.of.education.are.you.currently.completing..","What.school.are.you.currently.studying.at..","What.s.your.work.status..","What.field.do.you.work.in..","How.did.you.find.out.about.our.event..","Comments.if.needed"
"29/08/2020 15:18","NA","NA","Male","Between 31 and 40","NA","NA","NA","Malaysia","Doctorate degree","School of Medical Sciences","Studying","Science, Engineering, Technology, & Mathematics","Facebook",""
"29/08/2020 15:28","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Engineering degree","ESSAI","Studying","Transportation, Distribution & Logistics","Facebook",""
"29/08/2020 20:11","NA","NA","Female","Between 20 and 30","NA","NA","NA","Egypt","Post-graduate Doploma in Bioinfo","Suez canal university","Unemployed - Looking for work","Biology","LinkedIn",""
"29/08/2020 20:28","NA","NA","Male","More than 40","NA","NA","NA","India","Master's degree","None","Self-employed/Freelance","Science, Engineering, Technology, & Mathematics","LinkedIn",""
"29/08/2020 20:41","NA","NA","Male","Between 20 and 30","NA","NA","NA","Algeria","Doctorate degree","Enssea","Employed","Science, Engineering, Technology, & Mathematics","LinkedIn",""
"29/08/2020 20:46","NA","NA","Male","Between 20 and 30","NA","NA","NA","Colombia","Engineering degree","Universdad del Norte","Studying","Science, Engineering, Technology, & Mathematics","Instagram",""
"29/08/2020 21:26","NA","NA","Female","Between 31 and 40","NA","NA","NA","Turkey","Doctorate degree","BIRUNI ?ni","Employed","Science, Engineering, Technology, & Mathematics","Instagram",""
"29/08/2020 22:10","NA","NA","Male","Between 20 and 30","NA","NA","NA","Egypt","College degree","Al-azhar university","Unemployed - Looking for work","Science, Engineering, Technology, & Mathematics","LinkedIn",""
"29/08/2020 22:56","NA","NA","Male","Between 20 and 30","NA","NA","NA","Germany","Doctorate degree","Leibniz Institute","Employed","Public health","LinkedIn",""
"29/08/2020 23:16","NA","NA","Male","Between 20 and 30","NA","NA","NA","Argentina","College degree","UNC","Studying","Biology","LinkedIn",""
"29/08/2020 23:24","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Master's degree","FST","Studying","Biology","Instagram",""
"29/08/2020 23:32","NA","NA","Male","Between 31 and 40","NA","NA","NA","Malaysia","Doctorate degree","UPM","Studying","Biology","Twitter",""
"30/08/2020 00:13","NA","NA","Female","Between 31 and 40","NA","NA","NA","Brazil","Doctorate degree","Ufpr","Employed","Education","Instagram",""
"30/08/2020 04:14","NA","NA","Female","Between 20 and 30","NA","NA","NA","Brazil","Master's degree","USP","Employed","Science, Engineering, Technology, & Mathematics","Instagram",""
"30/08/2020 04:21","NA","NA","Female","Between 20 and 30","NA","NA","NA","Brazil","Doctorate degree","USP","Studying","Biology","Instagram",""
"30/08/2020 04:22","NA","NA","Female","Between 20 and 30","NA","NA","NA","Brazil","Doctorate degree","Universidade de S?o Paulo (USP)","Studying","Science, Engineering, Technology, & Mathematics","A friend",""
"30/08/2020 04:45","NA","NA","Female","More than 40","NA","NA","NA","Argentina","Master's degree","UBA","Employed","Science, Engineering, Technology, & Mathematics","Twitter",""
"30/08/2020 05:56","NA","NA","Male","Between 31 and 40","NA","NA","NA","USA","None","None","Employed","Biology","Twitter",""
"30/08/2020 06:02","NA","NA","Male","Between 20 and 30","NA","NA","NA","Germany","Doctorate degree","University of G?ttingen","Studying","Biology","Twitter",""
